"ABL","Anderson Biological",3
"ACC","Anderson-Clarke Center",4
"AEL","Abercrombie",1
"ANH","Anderson Hall, M.D.",5
"APB","Brown Hall, Alice Pratt",15
"BKH","Baker Hall, James A. III",8
"BNC","Brown College,",13
"BRC","BioScience Research",9
"BRK","Brockman Hall for",12
"COH","Cohen House",19
"DBH","Butcher Hall, Dell",18
"DCC","Duncan College",23
"DCH","Duncan Hall, Anne and",25
" SYM II","Comp Lab (PC)",20
"FON","Fondren Library",27
"GRB","Brown Hall, George R.",16
"GRW","Gibbs Recreation and",28
"HAM","Hamman Hall",31
"HBH","Mathematical Sciences,",17
"HNZ","Hanszen College, Harry",32
"HRZ","Herzstein Hall",35
" AMP","Lecture Hall",288
"HUM","Humanities Building",40
"KCK","Keck Hall, Howard",43
"KWG","Keith-Wiess Geological",44
"LEY","Ley Student Center",45
"LVC","Lovett College",46
"MCN","McNair Hall, Janice and",53
"MEB","Mechanical Engineering",54
"MED","Media Center",56
"MEL","Mechanical Laboratory",55
"MLC","Martel College, Marian",49
"MUD","Science Laboratory,",57
"NSV","North Servery",58
"OED","Oshman Engineering",59
"POL","Police Department",66
"RMC","Rice Memorial Center",63
"RYN","Ryon Engineering",70
"RZR","Rayzor Hall",60
"SEW","Sewall Hall",72
"SST","Space Science and",75
"SSV","South Servery",74
"STA","Rice Stadium",65
"TUD","Tudor Fieldhouse",76
"WSV","West Servery",77
